No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	json_serializable	Automatically generate code for converting to and from JSON by annotating Dart classes.	6.5.4	99.6662766003554	2413	1376	350	77	google	google.dev	BSD-3-Clause	2022-12-05T17:46:38.000Z	https://github.com/google/json_serializable.dart/tree/master/json_serializable
2	gcloud	High level idiomatic Dart API for Google Cloud Storage, Pub-Sub and Datastore.	0.8.7	98.53075022753868	57	89	40	42	dart-lang	labs.dart.dev	BSD-3-Clause	2022-11-22T08:56:54.000Z	https://github.com/dart-lang/gcloud
3	source_gen	Source code generation builders and utilities for the Dart build system	1.2.6	97.1828544185845	100	416	93	24	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-01T20:41:01.000Z	https://github.com/dart-lang/source_gen
4	drift_dev	Dev-dependency for users of drift. Contains a the generator and development tools.	2.3.3	96.6280934425519	16	1797	237	103	simolus3	simonbinder.eu	MIT	2022-12-17T20:37:15.000Z	https://github.com/simolus3/drift
5	source_helper	Utilities to help with Dart source code generation. Includes utilities for properly generating String literals from any String value.	1.3.3	93.83695228188792	13	9	2	1	google	google.dev	Apache-2.0	2022-10-30T00:39:25.000Z	https://github.com/google/source_helper.dart
6	copy_with_extension_gen	Automatically generating `copyWith` extensions code for classes with `@CopyWith()` annotation.	5.0.0	92.6450829974429	121	57	23	8	numen31337	oleksandrkirichenko.com	MIT	2022-12-02T23:18:09.000Z	https://github.com/numen31337/copy_with_extension
7	isar_generator	Code generator for the Isar Database. Finds classes annotated with @Collection.	3.0.5	91.61790837775754	13	2012	158	49	isar	isar.dev	Apache-2.0	2022-12-12T10:00:38.000Z	https://github.com/isar/isar
8	objectbox_generator	ObjectBox Flutter / Dart database binding code generator - finds annotated entities and adds them to the ObjectBox DB model.	1.7.0	90.38703246218523	14	720	87	54	objectbox	objectbox.io	Apache-2.0	2022-12-16T15:46:25.000Z	https://github.com/objectbox/objectbox-dart
9	json_model	Gernerating Dart model class from Json files with one command.	1.0.0	87.2188272006241	35	623	114	48	flutterchina		NOASSERTION	2022-01-10T02:14:10.000Z	https://github.com/flutterchina/json_model
10	envied_generator	Generator for the Envied package. See https://pub.dev/packages/envied.	0.3.0	85.32917262601309	5	30	15	3	petercinibulk		MIT	2022-11-28T17:56:33.000Z	https://github.com/petercinibulk/envied
11	test_reflective_loader	Support for discovering tests and test suites using reflection.	0.2.2	80.93875958913014	0	4	13	0	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-15T22:30:54.000Z	https://github.com/dart-lang/test_reflective_loader
12	appengine	Support for using Dart as a custom runtime on Google App Engine Flexible Environment	0.13.4	79.39149655441426	18	94	36	16	dart-lang	labs.dart.dev	BSD-3-Clause	2022-10-31T20:49:14.000Z	https://github.com/dart-lang/appengine
13	conduit_runtime	Provides behaviors and base types for packages that can use mirrors and be AOT compiled.	4.0.1	75.37381354830322	1	0	0	0	conduit-dart	theconduit.dev	BSD-2-Clause	2021-05-24T08:38:26.000Z	https://github.com/conduit-dart/conduit-runtime
14	functions_framework_builder	Builder for package:functions_framework	0.4.7	73.33680058943354	3	484	49	26	GoogleCloudPlatform	cloud.google.com	Apache-2.0	2022-11-30T03:47:21.000Z	https://github.com/GoogleCloudPlatform/functions-framework-dart
15	theme_tailor	Code generator for Flutter's 3.0 ThemeExtension classes.  The generator can create themes and extensions on BuildContext  or ThemeData based on the lists of the theme properties	1.0.8	72.17526979586529	63	33	7	5	Iteo	iteo.com	MIT	2022-12-13T13:45:39.000Z	https://github.com/Iteo/theme_tailor
16	class_to_map	This package provides two extesions, for converting a class to Map<String, dynamic> and vice versa.	0.0.1	71.63351103020847	3	2	0	1	EddieKamau		MIT	2021-06-24T17:48:57.000Z	https://github.com/EddieKamau/class_to_map
17	source_gen_test	Test support for the source_gen package. Includes helpers to make it easy to validate both success and failure cases.	1.0.4	67.74151605772981	9	18	7	4	kevmoo	j832.com	MIT	2022-10-30T01:07:16.000Z	https://github.com/kevmoo/source_gen_test
18	rikulo_commons	Common reusable Dart classes and utilities.	5.2.1	67.29510683482859	1	13	6	0	rikulo	quire.io	Apache-2.0	2022-10-18T03:55:59.000Z	https://github.com/rikulo/commons
19	flutter_translate_gen	Statically-typed localization keys generator for flutter_translate.	2.2.0	65.61782169635505	4	17	22	0	Jesway	jesway.com	NOASSERTION	2022-05-03T19:04:55.000Z	https://github.com/Jesway/Flutter-Translate-Gen
20	dart_mappable_builder	Improved json serialization and data classes with full support for generics, inheritance, customization and more.	1.2.1	55.7838165821523	2	26	3	5	schultek	schultek.de	MIT	2022-12-15T12:03:21.000Z	https://github.com/schultek/dart_mappable
21	realm_generator	Generates RealmObject classes from Realm data model classes. This package is part of the official Realm Flutter and Realm Dart SDKs.	0.8.0+rc	49.99349889481211	1	525	44	125	realm	realm.io	Apache-2.0	2022-12-17T14:16:25.000Z	https://github.com/realm/realm-dart
22	squadron_builder	Dart code generator for Squadron workers. Implement your worker service and let squadron_builder bridge the gap with Web Workers and Isolates!	1.0.2	41.780436007454604	0	2	0	0	d-markey		MIT	2022-10-26T08:20:56.000Z	https://github.com/d-markey/squadron_builder
23	paddinger	Code generation for Flutter Padding widgets based on your constants.	0.2.0	39.83443852121527	18	14	2	0	ema987	emanuelepapa.dev	MIT	2022-05-12T13:39:06.000Z	https://github.com/ema987/paddinger
24	playbook_generator	Playbook Generator Package	0.0.6	39.817102240714256	0	42	5	5	playbook-ui		BSD-3-Clause	2022-10-24T02:17:33.000Z	https://github.com/playbook-ui/playbook-flutter
25	ngcompiler	The AngularDart compiler. It compiles your component files written in Dartinto templates so that you don't have to worry about all the complicatedhassle.	2.1.3	37.719412300091015	1	40	5	5	angulardart-community	angulardart.xyz	MIT	2022-12-03T19:31:43.000Z	https://github.com/angulardart-community/angular
26	framy_generator	A convenient code generator for app styleguide, gallery, storyboard and more.	0.3.3	37.7107441598405	40	146	15	31	Fidev-io	fidev.io	LGPL-3.0	2021-08-13T06:41:43.000Z	https://github.com/Fidev-io/framy
27	aquedart	A modern HTTP server application framework, ORM and OAuth2 provider with OpenAPI 3.0 integration. Foundation for REST, RPC or GraphQL services.	5.0.4	33.22931565032722	3	1	0	0	EddieKamau		BSD-2-Clause	2021-10-23T11:15:11.000Z	https://github.com/EddieKamau/aquedart
28	gate_generator	Dependency Injection generator for your flutter/dart applications. This uses annotations and build_runner.	1.0.1	32.19780696051662	22	18	1	1	Apparence-io	apparence.io	MIT	2022-11-16T17:03:42.000Z	https://github.com/Apparence-io/gate
29	cbl_generator	Code generator for Couchbase Lite, which is an embedded, NoSQL JSON Document Style database.	0.2.0+2	32.09812334763576	1	72	10	29	cbl-dart	gabriel.terwesten.net	Apache-2.0	2022-12-16T21:42:23.000Z	https://github.com/cbl-dart/cbl-dart
30	emerald	Simple json serializer/deserializer for Dart (only JIT, not Flutter).	1.1.1	31.14462792007975	5	14	0	0	GlebBatykov	batykov-gleb.ru	MIT	2022-09-13T19:06:45.000Z	https://github.com/GlebBatykov/emerald
31	tunder	Tunder is a framework designed to build server side applications.	0.2.1	29.267975555844494	0	3	1	28	tunder-team		MIT	2022-11-10T04:53:41.000Z	https://github.com/tunder-team/tunder
32	generator_test	A library to help test generators and build runner packages using dart files instead of Strings	0.2.0	28.622199107181558	2	0	0	0	mrgnhnt96	mrgnhnt.com	MIT	2022-01-26T02:23:02.000Z	https://github.com/mrgnhnt96/generator_test
33	publish_tools	Do you want to commit to GitHub, publish to pub.dev and HomeBrew with one simple command?  Use this package.	0.1.0+10	28.570190265678498	0	0	0	0	faithoflifedev	muayid.com	MIT	2022-12-02T01:19:55.000Z	https://github.com/faithoflifedev/publish_tools
34	shelf_router_classes	An easier way to declare and use routes for the shelf and shelf_router packages using classes and Route annotations.	1.0.3	25.558011528626533	0	1	0	0	dbilgin	dbilgin.com	MIT	2022-04-18T17:24:12.000Z	https://github.com/dbilgin/shelf_router_classes
35	c_scheme_gen	Getters and setters to save variables to and from Map	1.0.21	25.45399384562042	1	1	0	0	edunnett		MIT	2021-10-01T18:27:31.000Z	https://github.com/edunnett/c_scheme_gen
36	enum_map_gen	A generator for enum_map package, a Map with compile-time check that every enum value has an entry in it.	0.2.0	23.733368005894334	3	1	0	0	alexeyinkin	ainkin.com	MIT-0	2022-12-06T07:44:52.000Z	https://github.com/alexeyinkin/dart-enum-map
37	leto_generator	Generates GraphQL schemas from Dart classes, for use with package:leto_schema.	0.0.1-dev.1	23.724699865643824	0	29	2	3	juancastillo0		MIT	2022-12-15T01:15:56.000Z	https://github.com/juancastillo0/leto
38	cinch_gen	cinch is powerful http client for dart, support native and js, http client using dio.	2.1.2	23.67269102414077	0	1	0	1	tatsuyuki25	tatsuyuki25.com	MIT	2022-10-18T08:52:02.000Z	https://github.com/tatsuyuki25/cinch
39	scouter	A NestJS inspired HTTP wrapper, to handle apis development following its code style	1.0.4+3	18.37212326095436	6	3	1	0	viniciusamelio		BSD-3-Clause	2022-12-11T22:44:02.000Z	https://github.com/viniciusamelio/scouter
40	mirror_dispatcher	Method Dispatcher using dart:mirrors. Facilitates invoking an API for JSON-RPC server side implementation.	1.0.1	13.366272266285268	1	0	0	0	jwashin		MIT	2021-03-27T10:38:02.000Z	https://github.com/jwashin/mirror_dispatcher
41	json_serializable_generic	A simple library to add json serializable behavior to a class	1.0.0	12.885190482382006	1	0	0	0	jonathanots		BSD-3-Clause	2022-01-01T19:25:03.000Z	https://github.com/jonathanots/dart_json_serializable
42	data_builder	Data builder is used to create an immutable data class with data_annotation	1.1.2	12.144064490963464	1	1	0	0	JonathanVegasP	vegasdevelopments.com	MIT	2021-07-29T13:36:07.000Z	https://github.com/JonathanVegasP/data_class_builder
