No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	http	A composable, multi-platform, Future-based API for HTTP requests.	0.13.5	99.97832495231489	5631	887	292	158	dart-lang	dart.dev	BSD-3-Clause	2022-12-14T23:56:15.000Z	https://github.com/dart-lang/http/tree/master/pkgs/http
2	intl	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	99.97398994277788	3635	497	168	104	dart-lang	dart.dev	BSD-3-Clause	2022-12-20T08:41:21.000Z	https://github.com/dart-lang/intl
3	path	A string-based path manipulation library. All of the path operations you know and love, with solid support for Windows, POSIX (Linux and Mac OS X), and the web.	1.8.3	99.90896479972255	950	158	38	13	dart-lang	dart.dev	BSD-3-Clause	2022-12-05T23:13:55.000Z	https://github.com/dart-lang/path
4	equatable	A Dart package that helps to implement value based equality without needing to explicitly override == and hashCode.	2.0.5	99.88728975203746	2040	740	91	15	felangel	fluttercommunity.dev	MIT	2022-10-17T14:47:51.000Z	https://github.com/felangel/equatable
5	collection	Collections and utilities functions and classes related to collections.	1.17.0	99.82226460898214	712	270	69	35	dart-lang	dart.dev	BSD-3-Clause	2022-12-21T13:48:05.000Z	https://github.com/dart-lang/collection
6	rxdart	RxDart is an implementation of the popular reactiveX api for asynchronous programming, leveraging the native Dart Streams api.	0.27.7	99.80492457083405	1960	3198	266	48	ReactiveX	fluttercommunity.dev	NOASSERTION	2022-11-28T15:48:04.000Z	https://github.com/ReactiveX/rxdart
7	crypto	Implementations of SHA, MD5, and HMAC cryptographic functions	3.0.2	99.791919542223	1034	191	42	23	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:45:46.000Z	https://github.com/dart-lang/crypto
8	async	Utility functions and classes related to the 'dart:async' library.	2.10.0	99.75723946592683	367	216	44	13	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T17:20:16.000Z	https://github.com/dart-lang/async
9	http_parser	A platform-independent package for parsing and serializing HTTP formats.	4.0.2	99.73989942777874	132	24	23	4	dart-lang	dart.dev	BSD-3-Clause	2022-10-31T00:30:28.000Z	https://github.com/dart-lang/http_parser
10	html	APIs for parsing and manipulating HTML content outside the browser.	0.15.1	99.72689439916768	394	232	56	71	dart-lang	tools.dart.dev	NOASSERTION	2022-11-09T23:34:42.000Z	https://github.com/dart-lang/html
11	mime	Utilities for handling media (MIME) types, including determining a type from a file extension and file contents.	1.0.3	99.71388937055661	253	78	38	21	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T15:49:04.000Z	https://github.com/dart-lang/mime
12	args	Library for defining parsers for parsing raw command-line arguments into a set of options and values using GNU and POSIX style options.	2.3.1	99.70521935148258	261	171	60	39	dart-lang	dart.dev	BSD-3-Clause	2022-11-09T20:45:35.000Z	https://github.com/dart-lang/args
13	logging	Provides APIs for debugging and error logging, similar to loggers in other languages, such as the Closure JS Logger and java.util.logging.Logger.	1.1.0	99.70088434194555	484	239	41	15	dart-lang	dart.dev	BSD-3-Clause	2022-12-06T22:23:52.000Z	https://github.com/dart-lang/logging
14	dart_code_metrics	Software analytics tool that helps developers analyse and improve software quality.	5.3.0	99.69654933240854	753	741	83	56	dart-code-checker	dartcodemetrics.dev	MIT	2022-12-20T19:15:48.000Z	https://github.com/dart-code-checker/dart-code-metrics
15	archive	Provides encoders and decoders for various archive and compression formats such as zip, tar, bzip2, gzip, and zlib.	3.3.5	99.69221432287151	418	297	85	72	brendan-duncan	loki3d.com	MIT	2022-12-20T22:13:11.000Z	https://github.com/brendan-duncan/archive
16	yaml	A parser for YAML, a human-friendly data serialization standard	3.1.1	99.63585919889024	175	121	53	18	dart-lang	tools.dart.dev	MIT	2022-11-15T20:27:41.000Z	https://github.com/dart-lang/yaml
17	convert	Utilities for converting between data representations. Provides a number of Sink, Codec, Decoder, and Encoder types.	3.1.1	99.63152418935321	64	45	21	8	dart-lang	dart.dev	BSD-3-Clause	2022-10-12T21:53:57.000Z	https://github.com/dart-lang/convert
18	web_socket_channel	StreamChannel wrappers for WebSockets. Provides a cross-platform WebSocketChannel API, a cross-platform implementation of that API that communicates over an underlying StreamChannel.	2.2.0	99.61418415120514	768	312	81	85	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-22T02:56:10.000Z	https://github.com/dart-lang/web_socket_channel
19	source_span	A library for identifying source spans and locations.	1.9.1	99.583839084446	18	21	14	12	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-25T17:24:45.000Z	https://github.com/dart-lang/source_span
20	string_scanner	A class for parsing strings using a sequence of patterns.	1.2.0	99.57950407490897	150	51	13	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T00:08:03.000Z	https://github.com/dart-lang/string_scanner
21	typed_data	Utility functions and classes related to the dart:typed_data library.	1.3.1	99.57083405583492	30	29	10	3	dart-lang	dart.dev	BSD-3-Clause	2022-11-10T17:39:40.000Z	https://github.com/dart-lang/typed_data
22	shelf	A model for web server middleware that encourages composition and easy reuse.	1.4.0	99.5664990462979	560	701	102	29	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-08T17:24:18.000Z	https://github.com/dart-lang/shelf/tree/master/pkgs/shelf
23	pub_semver	Versions and version constraints implementing pub's versioning policy. This is very similar to vanilla semver, with a few corner cases.	2.1.3	99.5448239986128	71	47	22	8	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-12T00:56:02.000Z	https://github.com/dart-lang/pub_semver
