No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
1	flutter_svg	An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.	1.1.6	99.96965493324085	3419	1469	388	138	dnfield	dnfield.dev	MIT	2022-12-16T04:07:41.000Z	https://github.com/dnfield/flutter_svg
2	provider	A wrapper around InheritedWidget to make them easier to use and more reusable.	6.0.5	99.9609849141668	7833	4568	466	13	rrousselGit	dash-overflow.net	MIT	2022-12-15T22:07:16.000Z	https://github.com/rrousselGit/provider
3	permission_handler	Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.	10.2.0	99.93930986648171	3331	1700	664	156	Baseflow	baseflow.com	MIT	2022-12-22T01:27:08.000Z	https://github.com/baseflow/flutter-permission-handler
4	google_fonts	A Flutter package to use fonts from fonts.google.com.	3.0.1	99.92630483787065	4219	668	88	17	material-foundation	material.io	Apache-2.0	2022-12-06T15:25:08.000Z	https://github.com/material-foundation/google-fonts-flutter
5	file_picker	A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.	5.2.4	99.89162476157448	2894	977	435	27	miguelpruivo	miguelruivo.com	MIT	2022-12-12T17:26:48.000Z	https://github.com/miguelpruivo/flutter_file_picker
6	carousel_slider	A carousel slider widget, support infinite scroll and custom child widget.	4.2.1	99.88295474250043	3817	1385	446	168	serenader2014	serenader.me	MIT	2022-12-13T16:32:08.000Z	https://github.com/serenader2014/flutter_carousel_slider
7	font_awesome_flutter	The Font Awesome Icon pack available as Flutter Icons. Provides 1600 additional icons to use in your apps.	10.3.0	99.86127969481532	3186	728	179	6	fluttercommunity	fluttercommunity.dev	NOASSERTION	2022-12-04T13:24:44.000Z	https://github.com/fluttercommunity/font_awesome_flutter
8	lottie	Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.	2.1.0	99.81792959944512	2460	887	163	95	xvrh	xaha.dev	MIT	2022-12-14T13:12:23.000Z	https://github.com/xvrh/lottie-flutter
9	sqflite	Flutter plugin for SQLite, a self-contained, high-reliability, embedded, SQL database engine.	2.2.2	99.81359458990809	3534	2532	452	127	tekartik	tekartik.com	BSD-2-Clause	2022-12-20T09:40:07.000Z	https://github.com/tekartik/sqflite/tree/master/sqflite
10	flutter_secure_storage	Flutter Secure Storage provides API to store data in secure storage. Keychain is used in iOS, KeyStore based solution is used in Android.	7.0.1	99.78758453268597	2441	889	227	71	mogol	steenbakker.dev	BSD-3-Clause	2022-12-21T15:24:43.000Z	https://github.com/mogol/flutter_secure_storage/tree/develop/flutter_secure_storage
11	shimmer	A package provides an easy way to add shimmer effect in Flutter project	2.0.0	99.77457950407491	3237	1552	185	29	hnvn	hunghd.dev	BSD-3-Clause	2022-07-08T03:27:47.000Z	https://github.com/hnvn/flutter_shimmer
12	flutter_native_splash	Customize Flutter's default white native splash screen with background color and splash image. Supports dark mode, full screen, and more.	2.2.16	99.76590948500088	4986	939	142	14	jonbhanson	jonhanson.net	MIT	2022-11-27T17:58:46.000Z	https://github.com/jonbhanson/flutter_native_splash
13	flutter_inappwebview	A Flutter plugin that allows you to add an inline webview, to use an headless webview, and to open an in-app browser window.	5.7.2+3	99.74856944685278	1536	2315	973	589	pichillilorenzo	inappwebview.dev	Apache-2.0	2022-12-16T14:49:41.000Z	https://github.com/pichillilorenzo/flutter_inappwebview
14	flutter_rating_bar	A simple yet fully customizable ratingbar for flutter which also include a rating bar indicator, supporting any fraction of rating.	4.0.1	99.68787931333449	1584	323	75	39	sarbagyastha	sarbagyastha.com.np	MIT	2022-11-28T13:51:05.000Z	https://github.com/sarbagyastha/flutter_rating_bar
15	pin_code_fields	A flutter package which will help you to generate pin code fields. Can be useful for OTP for example.	7.4.0	99.66186925611237	1629	549	247	14	adar2378	theadar.xyz	MIT	2022-12-15T16:10:20.000Z	https://github.com/adar2378/pin_code_fields
16	qr_code_scanner	QR code scanner that can be embedded inside flutter. It uses zxing in Android and MTBBarcode scanner in iOS.	1.0.1	99.49280388416855	1499	855	577	127	juliuscanute		BSD-2-Clause	2022-12-14T08:23:47.000Z	https://github.com/juliuscanute/qr_code_scanner
17	flutter_riverpod	A simple way to access state from anywhere in your application while robust and testable.	2.1.1	99.44078376972429	1327	3849	617	92	rrousselGit	dash-overflow.net	MIT	2022-12-21T16:37:59.000Z	https://github.com/rrousselGit/riverpod
18	flutter_image_compress	Compress image with native (Objective-C/Kotlin) with faster speed. Support Android/iOS.	1.1.3	99.28472342639154	818	508	132	60	fluttercandies		MIT	2022-09-22T08:48:55.000Z	https://github.com/fluttercandies/flutter_image_compress
19	dropdown_search	Simple and robust Searchable Dropdown with item search feature, making it possible to use an offline item list or filtering URL for easy customization.	5.0.5	99.25871336916941	1185	241	221	14	salim-lachdhaf	salimdev.ovh	MIT	2022-12-21T21:31:30.000Z	https://github.com/salim-lachdhaf/searchable_dropdown
